CO_GT ;konsentrasi_CO ;konsentrasi_NMHC;konsentrasi_C6H6;konsentrasi_NMHC ;konsentrasi_NO;konsentrasi_Nox;konsentrasi_NO2;konsentrasi_NO2 ;konsentrasi_O3;konsentrasi_RH ;konsentrasi_AH 
-200;1.649;-200;34;1.633;-200;584;-200;2.328;1.745;34;1
-200;1.443;-200;26;1.455;-200;635;-200;2.073;1.600;36;1
-200;1.209;-200;16;1.193;-200;753;-200;1.737;1.310;40;1
-200;1.105;-200;11;1.000;-200;847;-200;1.573;1.208;42;1
-200;1.020;-200;7;863;-200;933;-200;1.492;1.074;46;1
-200;991;-200;6;828;-200;973;-200;1.469;993;51;1
-200;937;-200;5;741;-200;1.058;-200;1.420;923;53;1
-200;882;-200;3;654;-200;1.141;-200;1.377;819;54;1
-200;843;-200;2;597;-200;1.242;-200;1.341;727;59;1
-200;819;-200;2;565;-200;1.295;-200;1.316;694;63;1
-200;834;-200;2;596;-200;1.276;-200;1.335;727;60;1
-200;977;-200;6;800;-200;990;-200;1.474;926;64;1
-200;1.234;-200;14;1.109;-200;767;-200;1.729;1.194;57;1
-200;1.403;-200;22;1.340;-200;623;-200;2.003;1.502;53;1
-200;1.538;-200;26;1.458;-200;593;-200;2.186;1.743;42;1
-200;1.343;-200;20;1.299;-200;694;-200;1.945;1.542;31;1
-200;1.243;-200;15;1.162;-200;766;-200;1.731;1.354;27;1
-200;1.201;-200;14;1.102;-200;814;-200;1.682;1.175;24;1
-200;1.121;-200;11;;-200;893;-200;1.585;916;24;1
-200;1.087;-200;12;1.055;-200;908;-200;1.562;818;21;1
-200;1.165;-200;18;1.225;-200;824;-200;1.676;1.028;16;1
-200;1.224;-200;19;1.270;-200;806;-200;1.739;1.113;16;1
-200;1.431;-200;27;1.482;-200;679;-200;2.025;1.431;21;1
-200;1.433;-200;28;1.510;-200;661;-200;2.038;1.503;24;1
-200;1.527;-200;35;1.664;-200;587;-200;2.238;1.775;30;1
-200;1.387;-200;22;1.361;-200;701;-200;1.932;1.505;35;1
-200;1.158;-200;14;1.100;-200;835;-200;1.659;1.211;37;1
-200;1.009;-200;8;907;-200;982;-200;1.466;872;39;1
-200;1.026;-200;8;890;-200;976;-200;1.467;855;44;1
-200;1.119;-200;10;979;-200;873;-200;1.593;1.170;48;1
-200;1.000;-200;7;839;-200;958;-200;1.467;1.024;50;1
-200;866;-200;3;675;-200;1.155;-200;;841;47;1
-200;848;-200;3;642;-200;1.202;-200;1.325;760;53;1
-200;844;-200;2;608;-200;1.213;-200;1.314;803;54;1
1;852;46;3;646;59;1.186;59;1.321;793;52;1
1;923;56;5;757;72;1.041;67;1.418;906;55;1
4;1.490;452;23;1.368;244;627;95;2.119;1.541;58;1
6;1.662;880;31;1.576;351;523;123;2.417;1.861;53;1
5;1.553;759;22;1.354;358;621;142;2.030;1.895;42;1
3;1.423;394;18;1.247;245;706;142;1.887;1.684;31;1
4;1.458;639;22;1.350;240;677;169;1.947;1.731;26;1
3;1.349;541;20;1.299;179;728;142;1.838;1.402;21;1
3;1.326;468;19;1.265;160;757;136;1.835;1.246;22;1
3;1.356;483;21;1.312;174;729;147;1.865;1.342;20;1
4;1.460;682;25;1.438;260;680;196;1.953;1.489;19;1
5;1.497;698;26;1.449;281;679;186;1.985;1.532;20;1
5;1.645;832;31;1.566;284;599;177;2.228;1.909;27;1
5;1.557;872;27;1.483;250;615;164;2.087;1.757;31;1
6;1.747;899;33;1.608;281;557;161;2.335;1.983;37;1
5;1.482;692;21;1.319;230;660;146;1.975;1.703;41;1
2;1.211;145;11;1.010;98;816;98;1.619;1.246;42;1
2;1.294;208;13;1.083;121;770;108;1.687;1.321;45;1
2;1.300;204;12;1.043;110;777;107;1.659;1.375;48;1
3;1.402;240;13;1.098;161;736;113;1.729;1.456;50;1
3;1.349;251;13;1.097;148;707;100;1.763;1.442;57;1
2;1.161;173;9;938;109;827;87;1.597;1.243;55;1
1;1.022;113;6;802;-200;916;-200;1.481;1.078;54;1
-200;948;55;4;700;45;1.045;60;1.430;939;50;1
1;933;65;4;697;71;1.045;65;1.403;937;58;1
1;1.021;119;6;800;75;931;64;1.483;1.019;60;1
2;1.134;151;10;979;106;794;73;1.639;1.140;57;1
3;1.311;305;15;1.147;166;681;86;1.838;1.351;52;1
3;1.409;415;16;1.169;188;685;105;1.874;1.459;45;1
3;1.301;321;12;1.059;161;787;107;1.727;1.297;34;1
3;1.354;358;14;1.130;139;765;114;1.808;1.291;30;1
3;1.391;350;15;1.136;134;738;105;1.840;1.296;32;1
2;1.200;238;9;929;84;879;74;1.623;972;32;1
2;1.338;215;11;1.016;98;798;95;1.766;1.194;42;1
2;1.223;192;9;938;91;884;89;1.610;880;36;1
2;1.278;205;11;1.003;99;845;95;1.691;909;32;1
2;1.257;165;10;973;90;860;93;1.634;839;32;1
3;1.497;283;16;1.171;147;725;123;1.899;1.248;38;1
4;1.567;467;19;1.280;177;661;134;1.970;1.476;40;1
3;1.503;485;17;1.203;162;651;126;1.863;1.502;51;1
2;1.169;202;7;850;88;906;79;1.584;873;74;1
1;1.007;64;3;650;53;1.157;54;1.404;528;80;1
1;1.004;71;3;667;68;1.157;69;1.365;492;77;1
1;967;84;3;661;61;1.181;67;1.321;463;67;1
1;984;70;4;707;71;1.131;73;1.359;494;64;1
1;931;61;4;689;63;1.161;73;1.317;503;59;1
1;966;92;5;737;-200;1.083;-200;1.363;581;59;1
-200;777;40;1;521;23;1.535;33;1.121;350;51;1
0;763;20;1;471;14;1.783;20;1.098;305;51;1
1;804;31;1;505;34;1.718;37;1.148;329;49;1
1;830;41;1;535;42;1.496;50;1.184;375;49;1
1;833;40;2;553;40;1.476;45;1.180;373;46;1
1;875;35;2;603;48;1.370;48;1.206;385;44;1
1;882;44;3;621;61;1.346;56;1.216;403;39;1
1;862;71;3;635;58;1.320;58;1.193;393;35;1
1;863;66;3;636;57;1.290;52;1.185;388;34;1
1;830;46;2;596;54;1.389;52;1.145;371;31;1
1;807;50;2;584;41;1.488;44;1.104;347;27;1
1;873;51;3;675;57;1.343;59;1.181;396;26;1
1;931;64;5;739;83;1.274;74;1.219;474;24;1
1;918;138;5;748;81;1.228;76;1.219;505;25;1
2;1.001;137;6;811;98;1.122;83;1.344;625;28;1
3;1.169;303;12;1.039;124;883;100;1.550;941;30;1
3;1.085;204;8;907;133;976;101;1.419;893;34;1
1;940;95;5;769;100;1.103;90;1.310;731;37;1
3;1.126;347;13;1.083;116;875;93;1.654;955;40;1
2;978;252;7;858;102;1.013;79;1.379;761;42;1
1;893;66;4;703;55;1.192;57;1.283;515;45;1
1;838;45;2;601;33;1.361;43;1.220;434;46;1
0;803;36;1;527;17;1.513;25;1.152;369;45;1
0;775;26;1;477;-200;1.722;-200;1.115;335;44;1
-200;767;17;1;454;10;1.826;17;1.091;319;43;1
0;809;21;1;521;35;1.575;44;1.158;378;44;1
1;898;60;3;676;70;1.271;72;1.307;517;44;1
2;1.053;155;8;880;116;982;91;1.464;786;44;1
2;1.033;235;9;934;134;917;89;1.490;844;42;1
1;941;89;5;780;113;1.080;84;1.343;720;38;1
1;941;76;5;782;110;1.102;83;1.328;668;32;1
1;917;101;5;772;98;1.098;78;1.311;605;32;1
2;977;109;7;837;96;1.038;80;1.413;646;31;1
2;994;143;7;851;95;1.018;75;1.436;640;31;1
1;942;104;5;785;86;1.065;77;1.365;571;33;1
1;981;107;6;810;86;1.060;77;1.395;605;32;1
2;984;133;6;832;91;1.034;81;1.410;636;33;1
2;1.116;171;11;1.003;119;864;101;1.625;886;35;1
3;1.181;405;14;1.114;147;787;119;1.685;1.032;36;1
3;1.163;334;13;1.068;135;811;111;1.616;977;38;1
3;1.081;236;9;950;124;907;109;1.496;924;39;1
2;1.017;99;7;842;89;1.000;101;1.441;846;39;1
2;966;93;5;778;79;1.057;89;1.359;755;41;1
1;924;82;4;709;63;1.158;75;1.318;610;41;1
1;861;51;2;601;39;1.351;51;1.225;439;43;1
1;826;41;2;560;25;1.424;39;1.197;402;43;1
1;846;31;2;557;19;1.385;32;1.212;406;43;1
1;842;41;2;545;-200;1.423;-200;1.224;424;46;1
-200;909;41;3;617;34;1.236;49;1.302;558;50;1
1;930;38;3;670;58;1.143;68;1.339;746;47;1
1;1.120;111;9;935;112;843;76;1.593;1.126;53;1
4;1.518;584;23;1.389;314;589;122;2.101;1.703;49;1
5;1.461;633;24;1.398;240;630;129;2.050;1.628;40;1
2;1.075;145;8;896;128;938;94;1.487;936;36;1
2;1.061;155;8;908;141;968;99;1.455;890;29;1
2;1.066;128;9;931;118;979;81;1.474;757;25;1
2;1.179;255;15;1.137;132;829;87;1.651;949;22;1
3;1.251;411;18;1.238;150;773;107;1.779;1.109;20;1
2;1.120;173;12;1.048;121;898;95;1.560;870;24;1
3;1.187;277;15;1.142;149;840;110;1.651;1.011;24;1
2;1.145;259;13;1.066;120;903;99;1.592;885;22;1
3;1.215;274;16;1.164;155;817;113;1.689;1.015;22;1
3;1.317;377;18;1.231;172;766;127;1.798;1.155;28;1
4;1.388;457;22;1.341;177;702;131;1.955;1.315;30;1
4;1.295;555;19;1.266;181;716;137;1.849;1.359;35;1
3;1.153;279;13;1.066;135;811;122;1.651;1.194;38;1
2;1.078;137;9;932;99;905;100;1.511;951;41;1
2;1.133;203;11;1.012;111;806;108;1.608;1.054;44;1
1;1.055;101;8;899;72;880;83;1.504;980;46;1
1;953;86;4;735;54;999;74;1.396;898;45;1
1;892;51;3;639;41;1.139;64;1.359;803;50;1
1;895;47;3;632;-200;1.167;-200;1.347;684;57;1
-200;859;35;2;602;24;1.209;40;1.321;644;56;1
1;856;33;3;619;29;1.191;39;1.345;677;53;1
1;1.030;95;8;880;76;892;69;1.539;996;61;1
6;1.689;754;30;1.560;321;529;104;2.396;1.736;58;1
4;1.486;588;22;1.351;274;571;100;2.112;1.692;55;1
5;1.592;658;25;1.423;322;577;146;2.155;2.108;46;1
3;1.469;372;18;1.252;255;692;155;1.903;1.807;34;1
3;1.364;386;17;1.205;196;723;139;1.850;1.566;29;1
3;1.285;333;14;1.123;136;755;121;1.741;1.293;28;1
2;1.311;293;16;1.170;119;748;108;1.787;1.219;27;1
3;1.416;511;22;1.348;169;684;126;1.969;1.330;27;1
4;1.387;559;21;1.318;197;701;145;1.890;1.299;23;1
3;1.329;375;16;1.185;140;768;121;1.750;1.111;26;1
4;1.496;509;20;1.292;178;680;145;1.878;1.300;30;1
5;1.676;790;29;1.525;223;567;160;2.226;1.653;37;1
5;1.724;816;28;1.510;222;562;155;2.252;1.716;42;1
5;1.642;804;25;1.426;265;597;162;2.117;1.720;44;1
3;1.267;332;13;1.088;151;764;129;1.740;1.339;47;1
1;1.146;156;9;923;79;845;96;1.575;1.166;50;1
2;1.216;143;10;960;87;788;92;1.662;1.256;56;1
2;1.128;117;8;891;88;838;89;1.574;1.125;56;1
1;1.042;84;5;772;51;923;61;1.495;968;60;1
1;926;60;3;639;34;1.115;54;1.409;814;60;1
0;898;76;2;608;-200;1.154;-200;1.386;743;61;1
-200;889;40;3;617;31;1.168;44;1.382;758;63;1
1;959;64;4;734;76;1.038;57;1.470;861;67;1
2;1.097;148;9;956;139;827;68;1.620;1.047;67;1
5;1.674;635;30;1.547;293;539;95;2.405;1.665;61;1
7;1.771;1.129;36;1.690;368;461;125;2.572;1.982;57;1
4;1.408;475;18;1.241;250;648;135;1.886;1.711;48;1
2;1.156;220;11;1.009;145;875;118;1.583;1.204;30;1
2;1.042;105;9;941;110;971;91;1.491;871;25;1
2;1.167;190;14;1.128;104;829;89;1.716;1.040;26;1
4;1.398;516;22;1.360;205;656;129;2.037;1.439;30;1
3;1.458;346;21;1.321;201;654;122;2.023;1.516;38;1
4;1.554;565;23;1.379;266;614;138;2.151;1.693;44;1
4;1.495;483;21;1.331;246;615;136;2.069;1.635;44;1
5;1.560;651;25;1.424;247;579;143;2.176;1.688;45;1
5;1.664;657;29;1.519;271;553;145;2.312;1.820;49;1
7;1.761;830;33;1.610;332;502;146;2.488;2.006;51;1
4;1.524;435;19;1.275;245;608;122;2.046;1.740;58;1
3;1.398;209;16;1.189;180;646;112;1.931;1.577;59;1
3;1.342;202;14;1.106;156;694;102;1.856;1.443;61;1
3;1.433;174;14;1.104;172;681;97;1.876;1.411;71;1
2;1.297;170;11;1.019;137;733;85;1.823;1.217;77;1
2;1.179;116;8;884;91;830;76;1.696;1.086;79;1
1;1.097;91;6;809;80;897;74;1.628;1.050;78;1
1;1.054;71;5;761;-200;963;-200;1.598;965;77;1
-200;1.017;59;4;711;46;1.009;56;1.554;906;79;1
1;1.005;48;5;738;68;1.005;66;1.563;917;75;1
2;1.206;111;9;949;162;818;90;1.771;1.116;73;1
3;1.458;345;18;1.249;213;662;111;2.033;1.380;68;1
3;1.405;332;20;1.295;161;638;103;2.065;1.378;58;1
3;1.381;344;17;1.199;209;685;117;1.970;1.365;65;1
3;1.315;212;13;1.072;191;736;116;1.833;1.273;73;1
3;1.332;166;13;1.082;215;707;109;1.889;1.242;79;1
3;1.362;214;15;1.145;212;673;116;1.973;1.294;72;1
3;1.399;377;17;1.222;202;643;115;2.061;1.413;61;1
3;1.310;210;15;1.160;153;695;94;1.939;1.224;51;1
3;1.399;265;17;1.201;185;699;121;1.971;1.318;46;1
4;1.524;365;18;1.239;210;644;114;2.139;1.404;61;1
5;1.487;454;19;1.274;215;641;110;2.133;1.471;54;1
4;1.480;460;21;1.324;215;622;122;2.162;1.623;54;1
6;1.626;642;27;1.476;281;555;135;2.356;1.786;59;1
4;1.449;501;20;1.282;254;625;133;2.100;1.569;61;1
3;1.363;234;15;1.152;189;684;110;1.951;1.495;65;1
3;1.371;212;15;1.136;174;689;102;1.927;1.471;66;1
3;1.406;275;14;1.107;167;718;108;1.872;1.384;67;1
4;1.425;275;15;1.155;185;709;110;1.936;1.789;67;1
2;1.179;-200;9;951;129;826;84;1.724;1.323;68;1
2;1.047;-200;7;833;85;939;71;1.647;1.081;70;1
1;1.009;-200;6;825;-200;950;-200;1.629;938;73;1
-200;882;-200;4;685;35;1.134;42;1.492;673;70;1
1;858;-200;3;624;24;1.205;32;1.434;543;67;1
1;875;-200;3;659;30;1.180;35;1.452;561;67;1
1;1.012;-200;7;833;75;916;67;1.632;862;67;1
2;1.049;-200;7;836;79;926;73;1.615;901;62;1
2;1.131;-200;9;932;104;854;86;1.693;1.048;55;1
2;1.120;-200;9;931;118;886;89;1.652;971;46;1
2;1.117;-200;9;946;105;909;86;1.657;915;37;1
2;1.110;-200;9;948;101;901;86;1.632;891;32;1
1;962;-200;6;816;65;1.044;66;1.489;628;32;1
1;963;-200;7;835;59;1.029;68;1.495;556;35;1
2;1.050;-200;9;948;80;928;82;1.584;652;30;1
2;1.053;-200;8;911;98;949;91;1.603;683;34;1
2;1.045;-200;8;910;89;948;95;1.598;624;37;1
2;1.124;-200;11;1.013;114;849;104;1.676;733;39;1
4;1.330;-200;15;1.140;195;759;131;1.780;1.062;43;1
3;1.171;-200;11;1.006;156;835;112;1.674;988;52;1
2;1.085;-200;9;954;109;866;100;1.656;871;56;1
4;1.358;-200;15;1.144;184;727;115;1.851;1.243;58;1
4;1.385;-200;13;1.094;190;765;129;1.769;1.175;59;1
2;1.167;-200;8;914;105;876;99;1.599;1.126;59;1
2;1.072;-200;8;894;76;893;74;1.646;1.118;60;1
1;938;-200;6;789;38;989;55;1.536;864;62;1
2;1.000;-200;7;838;-200;910;-200;1.580;942;68;1
-200;854;-200;3;670;26;1.141;35;1.460;684;66;1
1;815;-200;3;628;33;1.212;37;1.426;689;65;1
1;866;-200;4;689;57;1.138;45;1.456;767;70;1
1;911;-200;5;751;48;1.036;46;1.518;817;66;1
1;988;-200;6;806;87;951;68;1.568;940;62;1
1;1.046;-200;7;851;94;920;77;1.595;908;56;1
2;1.085;-200;9;918;89;890;79;1.639;871;45;1
1;1.008;-200;6;816;78;1.015;72;1.531;689;36;1
1;1.004;-200;6;821;72;1.031;68;1.510;629;34;1
1;948;-200;5;754;64;1.086;64;1.436;602;33;1
1;1.026;-200;7;847;70;1.010;73;1.519;617;32;1
2;1.047;-200;7;859;92;948;84;1.538;677;34;1
1;1.018;-200;6;790;69;1.047;67;1.443;580;28;1
2;1.160;-200;10;957;131;884;106;1.637;861;32;1
2;1.269;-200;12;1.047;144;809;114;1.721;1.080;39;1
3;1.394;-200;14;1.111;209;736;123;1.853;1.288;48;1
3;1.292;-200;11;1.003;170;789;108;1.753;1.163;55;1
2;1.212;-200;10;966;152;840;100;1.691;1.043;52;1
2;1.137;-200;10;985;171;858;118;1.607;1.045;43;1
2;1.080;-200;8;910;153;923;121;1.548;929;44;1
2;1.031;-200;7;861;97;903;94;1.534;825;49;1
1;917;-200;3;654;37;1.169;52;1.414;545;55;1
1;888;-200;2;598;26;1.228;39;1.397;500;62;1
0;872;-200;2;564;-200;1.284;-200;1.385;494;65;1
-200;876;-200;2;547;25;1.256;33;1.351;505;61;1
1;964;-200;4;697;61;1.067;57;1.516;717;64;1
1;1.147;-200;8;906;152;815;80;1.687;1.126;66;1
3;1.493;-200;21;1.328;283;577;101;2.193;1.597;63;1
5;1.597;-200;27;1.466;320;518;109;2.400;1.687;66;1
3;1.483;-200;17;1.222;318;597;109;2.054;1.529;69;1
3;1.222;-200;13;1.080;201;742;111;1.755;1.366;45;1
2;1.060;-200;11;1.010;135;858;102;1.623;1.074;31;1
2;1.048;-200;11;1.013;127;886;96;1.584;940;25;1
2;1.051;-200;11;1.008;102;911;90;1.561;921;24;1
1;998;-200;10;977;74;947;69;1.496;695;20;1
2;1.058;-200;11;1.023;81;896;74;1.580;795;20;1
2;1.203;-200;17;1.204;129;790;102;1.744;1.079;21;1
4;1.491;-200;24;1.392;190;630;128;2.149;1.473;35;1
4;1.467;-200;23;1.385;192;623;130;2.084;1.493;39;1
4;1.407;-200;19;1.279;163;660;120;2.009;1.308;44;1
3;1.324;-200;13;1.086;149;692;113;1.903;1.189;63;1
2;1.214;-200;10;970;119;777;100;1.771;1.076;65;1
1;1.016;-200;5;780;61;967;70;1.566;806;57;1
2;1.135;-200;7;842;84;872;83;1.653;973;63;1
1;1.065;-200;6;789;79;936;81;1.620;929;66;1
1;999;-200;4;692;58;1.038;69;1.588;778;79;1
1;911;-200;2;599;32;1.189;48;1.517;633;80;1
0;873;-200;2;545;-200;1.308;-200;1.471;497;81;1
-200;881;-200;2;546;21;1.335;28;1.465;458;81;1
1;967;-200;3;646;49;1.117;47;1.552;579;81;1
2;1.280;-200;10;976;180;780;88;1.912;1.003;81;1
5;1.564;-200;23;1.379;302;552;109;2.306;1.393;78;1
4;1.505;-200;22;1.358;258;556;113;2.248;1.406;79;1
3;1.309;-200;16;1.186;192;649;104;1.973;1.308;71;1
1;1.035;-200;8;895;84;898;65;1.657;863;55;1
2;1.148;-200;12;1.062;128;753;87;1.825;1.004;49;1
3;1.152;-200;14;1.104;145;725;99;1.860;1.023;48;1
2;1.131;-200;12;1.059;132;772;100;1.784;978;48;1
2;1.142;-200;12;1.053;136;753;105;1.814;979;54;1
3;1.197;-200;13;1.082;140;753;97;1.851;971;57;1
1;960;-200;6;828;55;971;54;1.565;617;55;1
2;1.077;-200;11;1.001;67;836;59;1.764;717;56;1
4;1.377;-200;21;1.313;191;612;109;2.120;1.220;63;1
5;1.405;-200;22;1.353;227;602;125;2.185;1.296;68;1
5;1.484;-200;21;1.319;264;591;132;2.166;1.413;75;1
3;1.187;-200;12;1.042;196;766;110;1.840;1.093;71;1
1;870;-200;4;729;43;1.096;53;1.475;586;56;1
1;932;-200;5;765;58;1.054;61;1.543;575;60;1
1;830;-200;2;608;33;1.282;41;1.370;441;52;1
1;778;-200;1;534;14;1.480;22;1.294;358;50;1
1;820;-200;2;541;18;1.450;28;1.360;377;65;1
1;842;-200;2;565;-200;1.327;-200;1.399;437;67;1
-200;867;-200;2;589;28;1.267;41;1.439;468;74;1
1;927;-200;4;682;56;1.109;54;1.526;580;77;1
1;1.060;-200;7;851;108;912;81;1.673;805;78;1
4;1.440;-200;19;1.271;251;630;107;2.163;1.273;77;1
-200;1.449;-200;22;1.350;-200;571;-200;2.264;1.452;71;1
4;1.384;-200;19;1.265;255;620;124;2.143;1.307;72;1
3;1.172;-200;13;1.085;214;737;123;1.876;1.102;69;1
3;1.143;-200;13;1.083;190;735;120;1.887;1.083;63;1
3;1.167;-200;15;1.134;182;709;113;1.920;1.083;61;1
4;1.303;-200;20;1.288;202;618;114;2.116;1.236;67;1
4;1.264;-200;19;1.279;224;631;120;2.049;1.223;63;1
4;1.242;-200;16;1.193;221;684;125;1.945;1.175;61;1
2;1.070;-200;11;1.022;126;824;88;1.740;933;59;1
2;981;-200;10;978;79;857;72;1.682;835;57;1
3;1.198;-200;15;1.136;137;717;103;1.870;1.291;62;1
2;1.000;-200;9;918;68;881;67;1.661;802;64;1
2;1.110;-200;9;949;96;850;79;1.733;842;71;1
2;1.023;-200;7;854;111;918;89;1.637;744;75;1
1;861;-200;4;695;56;1.130;;1.438;500;73;1
2;969;-200;5;760;81;1.059;83;1.518;560;80;1
;898;-200;5;741;79;1.085;76;1.468;589;76;1
1;835;-200;3;674;46;1.201;58;1.416;488;75;1
1;766;-200;1;523;19;1.534;30;1.310;387;72;1
0;743;-200;1;502;-200;1.635;-200;1.292;355;72;1
-200;758;-200;1;517;15;1.625;22;1.294;351;67;1
1;804;-200;2;604;48;1.366;50;1.357;420;65;1
1;948;-200;6;817;128;1.048;92;1.546;695;66;1
3;1.204;-200;17;1.205;193;729;101;1.984;1.139;59;1
4;1.231;-200;20;1.304;203;652;121;2.029;1.315;53;1
3;1.176;-200;16;1.191;220;705;130;1.836;1.217;46;1
3;1.043;-200;13;1.066;161;789;114;1.692;1.014;38;1
2;992;-200;10;970;135;869;100;1.624;884;43;1
1;885;-200;5;772;57;1.035;56;1.450;524;64;1
2;991;-200;9;937;91;874;75;1.581;644;55;1
3;1.182;-200;14;1.119;219;733;121;1.831;1.032;66;1
3;1.191;-200;13;1.074;239;741;128;1.816;1.038;78;1
4;1.272;-200;15;1.136;209;730;139;1.869;1.077;74;1
3;1.138;-200;12;1.063;169;804;122;1.728;983;64;1
2;1.008;-200;9;954;92;892;92;1.626;834;58;1
2;1.075;-200;11;1.015;107;824;97;1.722;949;61;1
2;1.034;-200;9;935;122;870;98;1.605;941;66;1
2;934;-200;7;841;100;973;93;1.497;756;66;1
1;883;-200;4;705;51;1.133;65;1.422;655;59;1
2;1.021;-200;7;871;93;938;81;1.586;805;65;1
2;1.059;-200;8;907;145;879;102;1.579;970;65;1
2;1.023;-200;8;878;106;896;91;1.568;969;68;1
1;855;-200;3;669;46;1.160;56;1.427;671;69;1
1;826;-200;2;616;-200;1.227;-200;1.384;575;68;1
-200;831;-200;2;602;32;1.269;41;1.386;535;68;1
1;817;-200;3;639;51;1.260;48;1.364;489;61;1
2;972;-200;8;880;89;964;72;1.590;689;61;1
4;1.200;-200;20;1.290;214;657;106;2.014;1.196;57;1
4;1.234;-200;22;1.355;196;621;107;2.095;1.266;50;1
3;1.164;-200;15;1.148;224;741;127;1.824;1.130;51;1
2;976;-200;9;952;174;878;114;1.582;834;43;1
1;844;-200;6;825;90;1.027;101;1.405;536;34;1
2;851;-200;8;906;89;989;95;1.418;545;28;1
2;926;-200;11;1.010;132;904;110;1.526;720;29;1
2;890;-200;9;950;114;940;101;1.460;655;30;1
2;921;-200;8;914;107;937;106;1.481;614;36;1
2;1.052;-200;9;956;140;869;116;1.600;725;61;1
4;1.247;-200;18;1.238;187;691;124;1.948;1.036;69;1
4;1.205;-200;17;1.222;222;684;133;1.911;1.127;70;1
2;1.016;-200;11;995;117;857;96;1.642;854;63;1
2;984;-200;8;879;89;940;85;1.527;792;63;1
2;1.041;-200;8;898;130;922;97;1.595;891;65;1
2;1.027;-200;8;887;133;927;97;1.568;876;65;1
2;1.025;-200;7;869;144;954;101;1.531;851;64;1
2;984;-200;6;829;99;1.003;85;1.516;787;62;1
2;969;-200;6;791;102;;80;1.446;711;60;1
1;758;-200;2;546;27;1.483;33;1.252;396;53;1
-200;767;-200;2;547;-200;1.482;-200;1.239;375;52;1
-200;772;-200;1;518;-200;1.544;-200;1.202;343;68;1
-200;831;-200;2;557;-200;1.480;-200;1.257;401;85;1
-200;871;-200;3;628;-200;1.243;-200;1.329;518;82;1
-200;995;-200;6;808;-200;1.028;-200;1.479;685;76;1
-200;1.093;-200;9;918;-200;857;-200;1.589;939;75;1
-200;1.079;-200;8;885;-200;884;-200;1.588;974;66;1
-200;1.084;-200;7;852;-200;910;-200;1.575;959;63;1
-200;1.204;-200;10;982;-200;791;-200;1.739;1.067;72;1
-200;1.213;-200;11;1.018;-200;760;-200;1.778;1.061;77;1
-200;1.124;-200;9;949;-200;827;-200;1.671;1.008;60;1
-200;945;-200;4;726;-200;1.053;-200;1.432;637;55;1
-200;964;-200;7;833;-200;1.003;-200;1.489;647;40;1
-200;903;-200;5;;-200;1.073;-200;1.375;523;35;1
-200;918;-200;7;863;-200;992;-200;1.408;539;34;1
-200;1.028;-200;10;961;-200;913;-200;1.502;649;39;1
-200;1.175;-200;17;1.209;-200;720;-200;1.829;1.071;45;1
-200;1.215;-200;15;1.161;-200;714;-200;1.802;1.237;52;1
-200;1.072;-200;10;976;-200;835;-200;1.603;1.018;56;1
-200;1.070;-200;9;952;-200;858;-200;1.573;966;58;1
-200;1.021;-200;7;853;-200;979;-200;1.457;901;60;1
-200;1.063;-200;7;859;-200;952;-200;1.519;949;60;1
-200;1.068;-200;9;938;-200;862;-200;1.575;1.057;65;1
-200;993;-200;8;913;-200;879;-200;1.601;989;65;1
-200;1.034;-200;9;928;-200;848;-200;1.619;1.005;69;1
-200;1.025;-200;8;914;-200;856;-200;1.605;1.003;68;1
-200;1.036;-200;8;902;-200;825;-200;1.558;1.087;71;1
-200;924;-200;5;774;-200;987;-200;1.460;909;74;1
-200;922;-200;5;737;-200;1.050;-200;1.414;882;63;1
-200;830;-200;3;625;-200;1.266;-200;1.303;568;47;1
-200;947;-200;5;752;-200;1.068;-200;1.434;620;45;1
-200;977;-200;5;737;-200;1.025;-200;1.450;686;50;1
-200;1.025;-200;5;761;-200;1.008;-200;1.476;700;46;1
-200;1.040;-200;6;804;-200;940;-200;1.502;780;44;1
-200;1.013;-200;4;718;-200;1.041;-200;1.492;558;68;1
-200;1.035;-200;5;755;-200;997;-200;1.521;608;66;1
-200;1.086;-200;7;859;-200;892;-200;1.595;754;54;1
-200;967;-200;5;753;-200;1.048;-200;1.420;544;47;1
-200;968;-200;5;785;-200;1.011;-200;1.446;550;44;1
-200;1.004;-200;6;827;-200;972;-200;1.465;627;44;1
-200;1.132;-200;10;981;-200;850;-200;1.614;877;48;1
-200;1.121;-200;10;985;-200;833;-200;1.625;981;52;1
-200;1.068;-200;8;917;-200;889;-200;1.570;832;55;1
-200;1.123;-200;9;937;-200;866;-200;1.606;941;60;1
-200;1.101;-200;9;933;-200;845;-200;1.600;1.022;62;1
-200;997;-200;7;835;-200;951;-200;1.501;888;61;1
-200;875;-200;3;654;-200;1.172;-200;1.375;683;58;1
-200;815;-200;2;569;-200;1.361;-200;1.344;534;60;1
-200;803;-200;1;531;-200;1.462;-200;1.318;489;63;1
-200;829;-200;2;570;-200;1.304;-200;1.357;562;63;1
-200;867;-200;3;625;-200;1.213;-200;1.385;652;64;1
-200;1.118;-200;10;970;-200;837;-200;1.705;1.019;67;1
-200;1.632;-200;32;1.587;-200;523;-200;2.459;1.678;62;1
-200;1.598;-200;35;1.668;-200;490;-200;2.617;1.749;57;1
4;1.378;-200;20;1.303;257;633;117;2.051;1.494;51;1
3;1.132;-200;13;1.096;178;731;107;1.808;1.186;45;1
